ticker,beta
A,1.2963
AAPL,1.103
ABBV,0.3238
ABNB,1.1332
ABT,0.7331
ACGL,0.3709
ACN,1.2348
ADBE,1.5137
ADI,1.0163
ADM,0.6828
ADP,0.8534
ADSK,1.4373
AEE,0.5338
AEP,0.575
AES,0.9285
AFL,0.6508
AIG,0.5868
AIZ,0.5495
AJG,0.6715
AKAM,0.6987
ALB,1.4869
ALGN,1.7826
ALL,0.212
ALLE,0.9924
AMAT,1.6132
AMCR,0.6383
AMD,2.0189
AME,1.0047
AMGN,0.4266
AMP,1.2665
AMT,0.8964
AMZN,1.4028
ANET,1.4395
AON,0.8236
AOS,1.2849
APA,0.7098
APD,0.8592
APH,1.1993
APO,1.6293
APTV,1.5175
ARE,1.3098
ATO,0.6988
AVB,0.7349
AVGO,1.2289
AVY,0.9666
AWK,0.7559
AXON,1.5032
AXP,1.1454
AZO,0.3448
BA,1.0887
BAC,1.2645
BALL,1.0991
BAX,0.5388
BBY,1.436
BDX,0.2395
BEN,1.4529
BF.B,0.4042
BG,0.7616
BIIB,0.1289
BK,1.0722
BKNG,1.2127
BKR,0.8799
BLDR,1.5549
BLK,1.4732
BMY,0.2607
BR,0.971
BRK.B,0.7016
BRO,0.7941
BSX,0.6962
BX,1.7854
BXP,1.0154
C,1.1245
CAG,-0.0621
CAH,0.6161
CARR,1.2761
CAT,1.5082
CB,0.4928
CBOE,0.3359
CBRE,1.3327
CCI,0.9434
CCL,2.4107
CDNS,1.0113
CDW,1.0287
CEG,1.0951
CF,0.6807
CFG,1.0863
CHD,0.4253
CHRW,0.9043
CHTR,1.0229
CI,0.2296
CINF,0.6451
CL,0.2627
CLX,0.5668
CMCSA,0.7827
CME,0.2634
CMG,1.0037
CMI,1.1134
CMS,0.4332
CNC,0.4407
CNP,0.5345
COF,1.1391
COIN,3.6634
COO,1.0122
COP,0.284
COR,0.6405
COST,0.9864
CPAY,0.8172
CPB,-0.0582
CPRT,1.1049
CPT,0.8163
CRH,1.3057
CRL,1.6269
CRM,1.286
CRWD,1.1034
CSCO,0.8207
CSGP,0.8858
CSX,1.2491
CTAS,0.9319
CTRA,0.3583
CTSH,0.9786
CTVA,0.7184
CVNA,3.6033
CVS,0.4542
CVX,0.6607
CZR,1.9452
D,0.6673
DAL,1.3406
DASH,1.8618
DAY,1.1874
DD,1.0602
DDOG,1.3522
DE,0.9479
DECK,1.1607
DELL,0.9364
